Project Section,Task,Crew,Start Date,Duration,End Date,Day Completed,Completion PCT
Project Coordination,bid acceptance,colonial,6/17/24,1,6/18/24,0,0.00%
Project Coordination,final engineering,Duane,6/17/24,2,6/30/24,0,0.00%
Procurement,cablevey,Duane,6/18/24,13,9/9/24,0,0.00%
Procurement,bucket elevator,Duane,6/18/24,5,8/19/24,0,0.00%
Procurement,fabrication,Duane,7/1/24,7,8/19/24,0,0.00%
Procurement,load cells,Duane,6/18/24,6,9/9/24,0,0.00%
Procurement,controls,Duane,7/1/24,10,9/9/24,0,0.00%
Procurement,control components,Duane,6/18/24,8,8/11/24,0,0.00%
Procurement,logistics and shipping,Duane,9/2/24,1,9/9/24,0,0.00%
Installation,Mobilization,Duane,9/7/24,1,9/8/24,0,0.00%
Installation,Frames,Duane,9/9/24,1,9/13/24,0,0.00%
Installation,dump platform,Duane,9/9/24,2,9/20/24,0,0.00%
Installation,bucket elevator,Duane,9/23/24,1,9/27/24,0,0.00%
Installation,silos,Duane,9/9/24,3,9/27/24,0,0.00%
Installation,Cableveys,Duane,9/9/24,5,10/18/24,0,0.00%
Programming,Develop Program,Duane,7/8/24,3,7/26/24,0,0.00%
Start up,start up and debug,Duane,10/21/24,2,11/1/24,0,0.00%
